"","date","pref","avg_temp","avg_rain"
"1",2018-12-30,"Gunma",2.1,0
"2",2018-12-30,"Ibaraki",1.43333333333333,0
"3",2018-12-30,"Nagano",-2.125,0
"4",2018-12-30,"Shizuoka",4.36666666666667,0
"5",2018-12-30,"Tochigi",0.85,0
"6",2018-12-30,"Yamanashi",0,0
"7",2018-12-31,"Gunma",3.3,0
"8",2018-12-31,"Ibaraki",1.96666666666667,0
"9",2018-12-31,"Nagano",-1.725,0.125
"10",2018-12-31,"Shizuoka",5.53333333333333,0.166666666666667
"11",2018-12-31,"Tochigi",0.8,0
"12",2018-12-31,"Yamanashi",0.1,0
"13",2019-01-01,"Gunma",4.6,0
"14",2019-01-01,"Ibaraki",2.73333333333333,0
"15",2019-01-01,"Nagano",-0.65,0.125
"16",2019-01-01,"Shizuoka",6.3,0
"17",2019-01-01,"Tochigi",2.3,0
"18",2019-01-01,"Yamanashi",0.0499999999999999,0
"19",2019-01-02,"Gunma",4.9,0
"20",2019-01-02,"Ibaraki",4.4,0
"21",2019-01-02,"Nagano",0.75,1.125
"22",2019-01-02,"Shizuoka",6.96666666666667,0
"23",2019-01-02,"Tochigi",4.15,0
"24",2019-01-02,"Yamanashi",0.9,0
"25",2019-01-03,"Gunma",3.15,0
"26",2019-01-03,"Ibaraki",2.13333333333333,0
"27",2019-01-03,"Nagano",-1.225,0
"28",2019-01-03,"Shizuoka",5.9,0
"29",2019-01-03,"Tochigi",1.95,0
"30",2019-01-03,"Yamanashi",0.7,0
"31",2019-01-04,"Gunma",4.55,0
"32",2019-01-04,"Ibaraki",2.33333333333333,0
"33",2019-01-04,"Nagano",-0.925,0
"34",2019-01-04,"Shizuoka",6.23333333333333,0
"35",2019-01-04,"Tochigi",1.85,0
"36",2019-01-04,"Yamanashi",0.45,0
"37",2019-01-05,"Gunma",6.2,0
"38",2019-01-05,"Ibaraki",5.63333333333333,0
"39",2019-01-05,"Nagano",2.5,0
"40",2019-01-05,"Shizuoka",9.83333333333333,0
"41",2019-01-05,"Tochigi",4.3,0
"42",2019-01-05,"Yamanashi",4.5,0
"43",2019-01-06,"Gunma",3.8,0
"44",2019-01-06,"Ibaraki",2.9,0
"45",2019-01-06,"Nagano",-0.7,0
"46",2019-01-06,"Shizuoka",6.5,0
"47",2019-01-06,"Tochigi",2.4,0
"48",2019-01-06,"Yamanashi",1.4,0
"49",2019-01-07,"Gunma",3.9,0
"50",2019-01-07,"Ibaraki",3.16666666666667,0
"51",2019-01-07,"Nagano",-0.95,0
"52",2019-01-07,"Shizuoka",6.3,0
"53",2019-01-07,"Tochigi",1.85,0
"54",2019-01-07,"Yamanashi",0.85,0
"55",2019-01-08,"Gunma",3.4,0
"56",2019-01-08,"Ibaraki",3.6,0
"57",2019-01-08,"Nagano",1.7,1
"58",2019-01-08,"Shizuoka",6.93333333333333,0
"59",2019-01-08,"Tochigi",2.7,0
"60",2019-01-08,"Yamanashi",1.55,0
"61",2019-01-09,"Gunma",3.1,0
"62",2019-01-09,"Ibaraki",2.66666666666667,0
"63",2019-01-09,"Nagano",-0.875,0.625
"64",2019-01-09,"Shizuoka",6.4,0
"65",2019-01-09,"Tochigi",2.9,0
"66",2019-01-09,"Yamanashi",1.2,0
"67",2019-01-10,"Gunma",1.55,0
"68",2019-01-10,"Ibaraki",0.866666666666667,0
"69",2019-01-10,"Nagano",-3.9,0
"70",2019-01-10,"Shizuoka",4.73333333333333,0
"71",2019-01-10,"Tochigi",-0.75,0
"72",2019-01-10,"Yamanashi",-0.2,0
"73",2019-01-11,"Gunma",5.7,0
"74",2019-01-11,"Ibaraki",4.66666666666667,0
"75",2019-01-11,"Nagano",0.45,0
"76",2019-01-11,"Shizuoka",7.56666666666667,0
"77",2019-01-11,"Tochigi",3.1,0
"78",2019-01-11,"Yamanashi",4.4,0
"79",2019-01-12,"Gunma",4.2,0
"80",2019-01-12,"Ibaraki",3.7,0
"81",2019-01-12,"Nagano",-0.075,0
"82",2019-01-12,"Shizuoka",8,0
"83",2019-01-12,"Tochigi",3.15,0
"84",2019-01-12,"Yamanashi",3.55,0.25
"85",2019-01-13,"Gunma",5.3,0
"86",2019-01-13,"Ibaraki",5.23333333333333,0
"87",2019-01-13,"Nagano",0.95,0
"88",2019-01-13,"Shizuoka",7.96666666666667,0
"89",2019-01-13,"Tochigi",5,0
"90",2019-01-13,"Yamanashi",3.55,0
"91",2019-01-14,"Gunma",3.45,0
"92",2019-01-14,"Ibaraki",3.7,0
"93",2019-01-14,"Nagano",0.475,0
"94",2019-01-14,"Shizuoka",7.33333333333333,0
"95",2019-01-14,"Tochigi",2.95,0
"96",2019-01-14,"Yamanashi",1.6,0
"97",2019-01-15,"Gunma",2.6,0
"98",2019-01-15,"Ibaraki",3.13333333333333,0
"99",2019-01-15,"Nagano",2.275,0.375
"100",2019-01-15,"Shizuoka",7.1,1.16666666666667
"101",2019-01-15,"Tochigi",2.1,0
"102",2019-01-15,"Yamanashi",1.6,0
"103",2019-01-16,"Gunma",5.15,0
"104",2019-01-16,"Ibaraki",5.3,0
"105",2019-01-16,"Nagano",1.775,0
"106",2019-01-16,"Shizuoka",8.46666666666667,0
"107",2019-01-16,"Tochigi",4.2,0
"108",2019-01-16,"Yamanashi",3.9,0
"109",2019-01-17,"Gunma",5.25,0
"110",2019-01-17,"Ibaraki",5.63333333333333,0
"111",2019-01-17,"Nagano",0.65,0.25
"112",2019-01-17,"Shizuoka",7.33333333333333,0
"113",2019-01-17,"Tochigi",4.65,0
"114",2019-01-17,"Yamanashi",3.85,0
"115",2019-01-18,"Gunma",4.05,0
"116",2019-01-18,"Ibaraki",4.53333333333333,0
"117",2019-01-18,"Nagano",-0.125,0
"118",2019-01-18,"Shizuoka",6.53333333333333,0
"119",2019-01-18,"Tochigi",4.1,0
"120",2019-01-18,"Yamanashi",3.65,0
"121",2019-01-19,"Gunma",5.15,0
"122",2019-01-19,"Ibaraki",5.03333333333333,0
"123",2019-01-19,"Nagano",-0.25,0
"124",2019-01-19,"Shizuoka",6.16666666666667,0
"125",2019-01-19,"Tochigi",4.15,0
"126",2019-01-19,"Yamanashi",2,0
"127",2019-01-20,"Gunma",5.15,0
"128",2019-01-20,"Ibaraki",5.76666666666667,0
"129",2019-01-20,"Nagano",1.25,3.125
"130",2019-01-20,"Shizuoka",7.5,0.166666666666667
"131",2019-01-20,"Tochigi",4.7,0
"132",2019-01-20,"Yamanashi",2.05,0
"133",2019-01-21,"Gunma",3.7,0
"134",2019-01-21,"Ibaraki",3.76666666666667,0
"135",2019-01-21,"Nagano",0.275,0.25
"136",2019-01-21,"Shizuoka",7.3,0
"137",2019-01-21,"Tochigi",3.55,0
"138",2019-01-21,"Yamanashi",3.1,0
"139",2019-01-22,"Gunma",3.1,0
"140",2019-01-22,"Ibaraki",2.93333333333333,0
"141",2019-01-22,"Nagano",0.05,1.25
"142",2019-01-22,"Shizuoka",7.23333333333333,0
"143",2019-01-22,"Tochigi",2.25,0
"144",2019-01-22,"Yamanashi",1.5,0
"145",2019-01-23,"Gunma",4,0
"146",2019-01-23,"Ibaraki",4.2,0
"147",2019-01-23,"Nagano",0.225,0.125
"148",2019-01-23,"Shizuoka",7.56666666666667,0
"149",2019-01-23,"Tochigi",2.75,0
"150",2019-01-23,"Yamanashi",2.45,0
"151",2019-01-24,"Gunma",4.2,0
"152",2019-01-24,"Ibaraki",4,0
"153",2019-01-24,"Nagano",0.45,0.125
"154",2019-01-24,"Shizuoka",7.43333333333333,0
"155",2019-01-24,"Tochigi",3.7,0
"156",2019-01-24,"Yamanashi",3.4,0
"157",2019-01-25,"Gunma",4.45,0
"158",2019-01-25,"Ibaraki",2.7,0
"159",2019-01-25,"Nagano",-0.825,0
"160",2019-01-25,"Shizuoka",6.2,0
"161",2019-01-25,"Tochigi",2.55,0
"162",2019-01-25,"Yamanashi",0.6,0
"163",2019-01-26,"Gunma",2.9,0
"164",2019-01-26,"Ibaraki",2.86666666666667,0.333333333333333
"165",2019-01-26,"Nagano",-1.1,4.125
"166",2019-01-26,"Shizuoka",5.56666666666667,0
"167",2019-01-26,"Tochigi",2.95,0
"168",2019-01-26,"Yamanashi",0.4,0
"169",2019-01-27,"Gunma",2.3,0.25
"170",2019-01-27,"Ibaraki",2.66666666666667,0
"171",2019-01-27,"Nagano",-1.975,0.5
"172",2019-01-27,"Shizuoka",4.66666666666667,0
"173",2019-01-27,"Tochigi",2.05,0
"174",2019-01-27,"Yamanashi",0.9,0
"175",2019-01-28,"Gunma",4.3,0
"176",2019-01-28,"Ibaraki",4.1,0
"177",2019-01-28,"Nagano",-0.3,2
"178",2019-01-28,"Shizuoka",6.36666666666667,0
"179",2019-01-28,"Tochigi",3.6,0
"180",2019-01-28,"Yamanashi",1.95,0
