date,pref,avg_temp,avg_rain
2018-12-30,Gunma,2.1,0
2018-12-30,Ibaraki,1.4333333333333333,0
2018-12-30,Nagano,-2.125,0
2018-12-30,Shizuoka,4.366666666666666,0
2018-12-30,Tochigi,0.85,0
2018-12-30,Yamanashi,0,0
2018-12-31,Gunma,3.3,0
2018-12-31,Ibaraki,1.9666666666666666,0
2018-12-31,Nagano,-1.725,0.125
2018-12-31,Shizuoka,5.533333333333333,0.16666666666666666
2018-12-31,Tochigi,0.8,0
2018-12-31,Yamanashi,0.09999999999999998,0
2019-01-01,Gunma,4.6,0
2019-01-01,Ibaraki,2.7333333333333334,0
2019-01-01,Nagano,-0.65,0.125
2019-01-01,Shizuoka,6.3,0
2019-01-01,Tochigi,2.3,0
2019-01-01,Yamanashi,0.04999999999999993,0
2019-01-02,Gunma,4.9,0
2019-01-02,Ibaraki,4.4,0
2019-01-02,Nagano,0.75,1.125
2019-01-02,Shizuoka,6.966666666666667,0
2019-01-02,Tochigi,4.15,0
2019-01-02,Yamanashi,0.8999999999999999,0
2019-01-03,Gunma,3.15,0
2019-01-03,Ibaraki,2.1333333333333333,0
2019-01-03,Nagano,-1.225,0
2019-01-03,Shizuoka,5.9,0
2019-01-03,Tochigi,1.9500000000000002,0
2019-01-03,Yamanashi,0.7,0
2019-01-04,Gunma,4.550000000000001,0
2019-01-04,Ibaraki,2.333333333333333,0
2019-01-04,Nagano,-0.925,0
2019-01-04,Shizuoka,6.233333333333333,0
2019-01-04,Tochigi,1.85,0
2019-01-04,Yamanashi,0.45000000000000007,0
2019-01-05,Gunma,6.199999999999999,0
2019-01-05,Ibaraki,5.633333333333334,0
2019-01-05,Nagano,2.5,0
2019-01-05,Shizuoka,9.833333333333334,0
2019-01-05,Tochigi,4.300000000000001,0
2019-01-05,Yamanashi,4.5,0
2019-01-06,Gunma,3.8,0
2019-01-06,Ibaraki,2.9,0
2019-01-06,Nagano,-0.7000000000000001,0
2019-01-06,Shizuoka,6.5,0
2019-01-06,Tochigi,2.4,0
2019-01-06,Yamanashi,1.4000000000000001,0
2019-01-07,Gunma,3.9000000000000004,0
2019-01-07,Ibaraki,3.1666666666666665,0
2019-01-07,Nagano,-0.95,0
2019-01-07,Shizuoka,6.3,0
2019-01-07,Tochigi,1.85,0
2019-01-07,Yamanashi,0.85,0
2019-01-08,Gunma,3.4,0
2019-01-08,Ibaraki,3.5999999999999996,0
2019-01-08,Nagano,1.7000000000000002,1
2019-01-08,Shizuoka,6.933333333333334,0
2019-01-08,Tochigi,2.7,0
2019-01-08,Yamanashi,1.55,0
2019-01-09,Gunma,3.0999999999999996,0
2019-01-09,Ibaraki,2.6666666666666665,0
2019-01-09,Nagano,-0.875,0.625
2019-01-09,Shizuoka,6.3999999999999995,0
2019-01-09,Tochigi,2.9,0
2019-01-09,Yamanashi,1.2000000000000002,0
2019-01-10,Gunma,1.55,0
2019-01-10,Ibaraki,0.8666666666666667,0
2019-01-10,Nagano,-3.9,0
2019-01-10,Shizuoka,4.733333333333333,0
2019-01-10,Tochigi,-0.75,0
2019-01-10,Yamanashi,-0.2,0
2019-01-11,Gunma,5.699999999999999,0
2019-01-11,Ibaraki,4.666666666666667,0
2019-01-11,Nagano,0.44999999999999996,0
2019-01-11,Shizuoka,7.566666666666666,0
2019-01-11,Tochigi,3.1,0
2019-01-11,Yamanashi,4.4,0
2019-01-12,Gunma,4.199999999999999,0
2019-01-12,Ibaraki,3.6999999999999997,0
2019-01-12,Nagano,-0.07500000000000002,0
2019-01-12,Shizuoka,8,0
2019-01-12,Tochigi,3.15,0
2019-01-12,Yamanashi,3.55,0.25
2019-01-13,Gunma,5.3,0
2019-01-13,Ibaraki,5.233333333333333,0
2019-01-13,Nagano,0.9500000000000001,0
2019-01-13,Shizuoka,7.966666666666667,0
2019-01-13,Tochigi,5,0
2019-01-13,Yamanashi,3.5500000000000003,0
2019-01-14,Gunma,3.45,0
2019-01-14,Ibaraki,3.6999999999999997,0
2019-01-14,Nagano,0.475,0
2019-01-14,Shizuoka,7.333333333333334,0
2019-01-14,Tochigi,2.95,0
2019-01-14,Yamanashi,1.5999999999999999,0
2019-01-15,Gunma,2.6,0
2019-01-15,Ibaraki,3.1333333333333333,0
2019-01-15,Nagano,2.275,0.375
2019-01-15,Shizuoka,7.1000000000000005,1.1666666666666667
2019-01-15,Tochigi,2.0999999999999996,0
2019-01-15,Yamanashi,1.6,0
2019-01-16,Gunma,5.15,0
2019-01-16,Ibaraki,5.3,0
2019-01-16,Nagano,1.775,0
2019-01-16,Shizuoka,8.466666666666667,0
2019-01-16,Tochigi,4.199999999999999,0
2019-01-16,Yamanashi,3.9,0
2019-01-17,Gunma,5.25,0
2019-01-17,Ibaraki,5.633333333333334,0
2019-01-17,Nagano,0.65,0.25
2019-01-17,Shizuoka,7.333333333333334,0
2019-01-17,Tochigi,4.65,0
2019-01-17,Yamanashi,3.8499999999999996,0
2019-01-18,Gunma,4.05,0
2019-01-18,Ibaraki,4.533333333333333,0
2019-01-18,Nagano,-0.125,0
2019-01-18,Shizuoka,6.533333333333333,0
2019-01-18,Tochigi,4.1,0
2019-01-18,Yamanashi,3.65,0
2019-01-19,Gunma,5.15,0
2019-01-19,Ibaraki,5.033333333333333,0
2019-01-19,Nagano,-0.25,0
2019-01-19,Shizuoka,6.166666666666667,0
2019-01-19,Tochigi,4.15,0
